rule,length,complexity,train_fitness,train_excess_sharpe,train_sharpe,val_fitness,val_excess_sharpe,val_sharpe,val_sharpe_bh,holdout_fitness,holdout_excess_sharpe,holdout_sharpe,holdout_sharpe_bh,null_pvalue,null_n,selected_on
~asp_jupiter_sun_opp & ~asp_mars_venus_sextile,2,5,0.0111704114179592,0.0611704114179592,0.5638031019799796,0.04337767270206459,0.0933776727020646,0.48581810160018946,0.39244042889812486,-0.13850752812291361,-0.08850752812291363,0.6667805591762288,0.7552880872991424,,,validation
~asp_jupiter_mars_conj & ~asp_jupiter_sun_sextile,2,5,-0.14042065357004097,-0.09042065357004098,0.41221203699197945,0.043315610002461744,0.09331561000246175,0.4857560389005866,0.39244042889812486,-0.11195000152635855,-0.061950001526358545,0.6933380857727839,0.7552880872991424,,,validation
~asp_jupiter_venus_trine & ~venus_sign_cancer,2,5,-0.09648536954945715,-0.046485369549457145,0.4561473210125633,0.04330640309339005,0.09330640309339006,0.4857468319915149,0.39244042889812486,-0.13254700200223463,-0.08254700200223464,0.6727410852969078,0.7552880872991424,,,validation
~asp_saturn_venus_sextile & ~mercury_sign_gemini,2,5,-0.11819263495587114,-0.06819263495587113,0.4344400556061493,0.04284261144221861,0.09284261144221861,0.4852830403403435,0.39244042889812486,-0.13615812203459848,-0.0861581220345985,0.6691299652645439,0.7552880872991424,,,validation
~asp_jupiter_venus_square & ~mars_sign_taurus,2,5,-0.17157214499245999,-0.12157214499246,0.3810605455695604,0.04276343703027789,0.0927634370302779,0.48520386592840276,0.39244042889812486,-0.041873620285568694,0.008126379714431309,0.7634144670135737,0.7552880872991424,,,validation
~asp_jupiter_mars_conj & ~mars_sign_leo,2,5,-0.07110021606874108,-0.021100216068741073,0.48153247449327935,0.042526468448754504,0.0925264684487545,0.48496689734687937,0.39244042889812486,-0.17432181884174353,-0.12432181884174354,0.6309662684573989,0.7552880872991424,,,validation
~asp_jupiter_venus_trine,1,2,-0.07298436958574865,-0.05298436958574865,0.4496483209762718,0.04251868302626667,0.06251868302626667,0.45495911192439153,0.39244042889812486,-0.0313762538675245,-0.0113762538675245,0.7439118334316179,0.7552880872991424,,,validation
~mars_sign_leo & mercury_sign_taurus,2,4,-0.4187948552832562,-0.37879485528325624,0.12383783527876419,0.04246982163565347,0.08246982163565347,0.47491025053377833,0.39244042889812486,-0.9091156830773346,-0.8691156830773346,-0.11382759577819214,0.7552880872991424,,,validation
~asp_jupiter_venus_trine & ~sun_sign_cancer,2,5,-0.1191367760694937,-0.0691367760694937,0.4334959144925267,0.04218180269983367,0.09218180269983367,0.48462223159795853,0.39244042889812486,-0.22092899464087773,-0.17092899464087774,0.5843590926582647,0.7552880872991424,,,validation
mars_sign_aries & ~saturn_sign_virgo,2,4,-0.43175136852577795,-0.39175136852577797,0.11088132203624247,0.04207288436054788,0.08207288436054788,0.47451331325867274,0.39244042889812486,-0.20896588667043545,-0.16896588667043544,0.586322200628707,0.7552880872991424,,,validation
