rule,side,length,complexity,val_avg_R,val_total_R,val_n_trades,val_fitness,val_fitness_raw,val_pf,val_win_rate,val_sharpe,val_max_dd,n_episodes_val,max_episode_val,val_half1_avg_R,val_half2_avg_R,stable,train_avg_R,train_n_trades,holdout_avg_R,holdout_total_R,holdout_n_trades,holdout_pf,holdout_win_rate,holdout_sharpe,holdout_max_dd,null_pvalue,null_n,drop_reason,selected_on
~asp_mercury_saturn_conj_orb3 & ~mercury_sign_scorpio,long,2,5,0.399744064614005,21.186435424542267,53,0.29974406461400505,0.29974406461400505,2.224298643039082,0.5849056603773585,,,11,229,0.34485879397084396,0.42797077523048793,True,0.08212752414265712,137,,,,,,,,,,,validation
~asp_jupiter_sun_opp_orb5 & asp_mercury_uranus_conj_orb3,short,2,4,0.39305748747975827,13.75701206179154,35,0.29972415414642495,0.31305748747975826,2.0950965056929873,0.6,,,6,15,0.33551389872043147,0.5369164593780754,True,-0.11470120761229753,68,,,,,,,,,,,validation
~asp_mars_neptune_trine_orb3 & ~sun_sign_aries,long,2,5,0.39877623148869173,23.926573889321503,60,0.2987762314886917,0.2987762314886917,1.9620795602649366,0.55,,,12,230,0.7173945151178901,0.08015794785949346,True,0.16899849251707835,119,,,,,,,,,,,validation
~asp_mercury_uranus_trine_orb1 & asp_mercury_uranus_trine_orb5,long,2,4,0.3783374830356637,23.078586465175487,61,0.2983374830356637,0.2983374830356637,2.125537989279299,0.6229508196721312,,,17,13,0.21998082912580216,0.4555846312843767,True,-0.010728884229113216,180,,,,,,,,,,,validation
~asp_neptune_venus_sextile_orb3 & mercury_sign_sagittarius,long,2,4,0.38227347499670733,16.05548594986171,42,0.2982734749967073,0.3022734749967073,2.216357509254305,0.5952380952380952,,,9,37,0.09939572431337468,0.5746303454613736,True,0.008159667565875684,92,,,,,,,,,,,validation
~asp_sun_uranus_conj_orb3 & mercury_sign_aries,short,2,4,0.3776383359181597,16.993725116317187,45,0.2976383359181597,0.2976383359181597,2.131831791109128,0.6222222222222222,,,9,28,0.203103416849656,0.5958069847537892,True,0.13268648614147988,75,,,,,,,,,,,validation
~asp_jupiter_venus_conj_orb3 & asp_mercury_uranus_trine_orb5,long,2,4,0.3772738889115782,20.7500638901368,55,0.2972738889115782,0.2972738889115782,2.249551184000664,0.5818181818181818,,,11,16,0.3126989586123558,0.40148948777378657,True,-0.08962642238943726,145,,,,,,,,,,,validation
~jupiter_ingress_3d & sun_sign_virgo,short,2,4,0.3893457689740842,13.627101914092947,35,0.29601243564075086,0.30934576897408417,2.2941306813034195,0.5714285714285714,,,6,22,0.4221231259299259,0.34564262636629534,True,0.043726778370745935,67,,,,,,,,,,,validation
asp_mars_mercury_conj_orb5 & ~asp_mars_pluto_trine_orb3,long,2,4,0.38890210798047997,13.6115737793168,35,0.29556877464714665,0.30890210798047996,2.295342651626585,0.5428571428571428,,,7,22,0.6019461525926999,0.10484338183085336,True,0.026057521169036944,90,,,,,,,,,,,validation
~asp_mercury_saturn_conj_orb5 & venus_sign_capricorn,long,2,4,0.3848542224032738,14.624460451324405,38,0.29552088906994045,0.3048542224032738,1.8967794513438532,0.5263157894736842,,,8,19,0.483771068481089,0.2958290609332401,True,-0.04743916920489716,74,,,,,,,,,,,validation
~asp_mercury_saturn_conj_orb5 & mercury_sign_capricorn,short,2,4,0.38617462018765475,14.288460946943225,37,0.2955079535209881,0.30617462018765473,2.041563339272987,0.5675675675675675,,,9,24,0.37389069298925504,0.41176613518432087,True,-0.18476829224955946,75,,,,,,,,,,,validation
~mercury_sign_aquarius & ~venus_sign_aries,short,2,5,0.3951637715937395,19.758188579686976,50,0.2951637715937395,0.2951637715937395,2.2078069714267263,0.54,,,11,205,0.38255382502435736,0.41407869144781284,True,-0.16299168081549256,118,,,,,,,,,,,validation
~asp_moon_uranus_conj_orb1 & ~mercury_sign_aquarius,short,2,5,0.3948461197796059,26.059843905453988,66,0.29484611977960584,0.29484611977960584,2.0821040745641186,0.5454545454545454,,,15,191,0.4670330606166333,0.30822179077517303,True,-0.06419762029605425,145,,,,,,,,,,,validation
~asp_sun_uranus_conj_orb5 & ~pluto_retro,long,2,5,0.3946557972867687,17.759510877904592,45,0.2946557972867687,0.2946557972867687,2.1234934254501447,0.5777777777777777,,,9,136,0.4477281734902276,0.2885110448798506,True,0.17536570538390342,119,,,,,,,,,,,validation
~asp_mercury_saturn_conj_orb3 & ~mercury_sign_taurus,long,2,5,0.3933209820515229,23.599258923091373,60,0.2933209820515229,0.2933209820515229,2.2288668181571083,0.6166666666666667,,,12,156,0.3655074095049274,0.4322599836167564,True,0.07765824283682723,147,,,,,,,,,,,validation
asp_mars_venus_sextile_orb5,short,1,1,0.31940901030744784,12.776360412297914,40,0.29274234364078117,0.2994090103074478,1.8257829056142345,0.5,,,7,23,0.3579154278303874,0.2552316477692155,True,-0.06488998046040581,85,,,,,,,,,,,validation
